Index,col,row,lat,lon,suitable_area(m2),Average_CF,cap_mid,provin
146,,,20.25,110.75,,,3.386,Guangdong
147,,,20.5,110.75,,,3.095,Guangdong
148,,,20.75,110.75,,,3.132,Guangdong
149,,,21,110.75,,,2.141,Guangdong
150,,,21.25,110.75,,,2.279,Guangdong
151,,,16.75,111,,,0,Hainan
152,,,17,111,,,0,Hainan
153,,,17.25,111,,,0,Hainan
154,,,17.5,111,,,0,Hainan
155,,,17.75,111,,,0,Hainan
156,,,18,111,,,0,Hainan
157,,,18.25,111,,,0,Hainan
158,,,18.5,111,,,0,Hainan
159,,,18.75,111,,,0,Hainan
160,,,19,111,,,0,Hainan
161,,,19.25,111,,,0,Hainan
162,,,19.5,111,,,0.149,Hainan
163,,,19.75,111,,,1.715,Hainan
164,,,20,111,,,3.358,Guangdong
165,,,20.25,111,,,3.3,Guangdong
166,,,20.5,111,,,1.999,Guangdong
167,,,20.75,111,,,2.785,Guangdong
168,,,21,111,,,3.167,Guangdong
169,,,21.25,111,,,2.528,Guangdong
170,,,16.75,111.25,,,0,Hainan
171,,,17,111.25,,,0,Hainan
172,,,17.25,111.25,,,0.165,Hainan
173,,,17.5,111.25,,,0,Hainan
174,,,17.75,111.25,,,0,Hainan
175,,,18,111.25,,,0,Hainan
176,,,18.25,111.25,,,0,Hainan
177,,,18.5,111.25,,,0,Hainan
178,,,18.75,111.25,,,0,Hainan
179,,,19,111.25,,,0,Hainan
180,,,19.25,111.25,,,0,Hainan
181,,,19.5,111.25,,,0,Guangdong
182,,,19.75,111.25,,,0,Guangdong
183,,,20,111.25,,,0.36,Guangdong
184,,,20.25,111.25,,,0.755,Guangdong
185,,,20.5,111.25,,,0.591,Guangdong
186,,,20.75,111.25,,,2.656,Guangdong
187,,,21,111.25,,,3.184,Guangdong
188,,,21.25,111.25,,,2.663,Guangdong
189,,,16.5,111.5,,,0.987,Hainan
190,,,16.75,111.5,,,0.83,Hainan
191,,,17,111.5,,,0,Hainan
192,,,17.25,111.5,,,0.19,Hainan
193,,,17.5,111.5,,,0,Hainan
194,,,17.75,111.5,,,0,Hainan
195,,,18,111.5,,,0,Hainan
196,,,18.25,111.5,,,0,Hainan
197,,,18.5,111.5,,,0,Hainan
198,,,18.75,111.5,,,0,Hainan
199,,,19,111.5,,,0,Guangdong
200,,,19.25,111.5,,,0,Guangdong
201,,,19.5,111.5,,,0,Guangdong
202,,,19.75,111.5,,,0.031,Guangdong
203,,,20,111.5,,,0,Guangdong
204,,,20.25,111.5,,,0,Guangdong
205,,,20.5,111.5,,,0.055,Guangdong
206,,,20.75,111.5,,,1.522,Guangdong
207,,,21,111.5,,,2.981,Guangdong
208,,,21.25,111.5,,,2.833,Guangdong
209,,,21.5,111.5,,,3.131,Guangdong
210,,,16.5,111.75,,,0.341,Hainan
211,,,16.75,111.75,,,0.087,Hainan
212,,,17,111.75,,,0,Hainan
213,,,17.25,111.75,,,0,Hainan
214,,,17.5,111.75,,,0,Hainan
215,,,17.75,111.75,,,0,Hainan
216,,,18,111.75,,,0,Hainan
217,,,18.25,111.75,,,0,Guangdong
218,,,18.5,111.75,,,0,Guangdong
219,,,18.75,111.75,,,0,Guangdong
220,,,19,111.75,,,0.022,Guangdong
221,,,19.25,111.75,,,0.196,Guangdong
222,,,19.5,111.75,,,0,Guangdong
223,,,19.75,111.75,,,0,Guangdong
224,,,20,111.75,,,0,Guangdong
225,,,20.25,111.75,,,0.02,Guangdong
226,,,20.5,111.75,,,0.055,Guangdong
227,,,20.75,111.75,,,0.772,Guangdong
228,,,21,111.75,,,2.528,Guangdong
229,,,21.25,111.75,,,2.838,Guangdong
230,,,21.5,111.75,,,2.473,Guangdong
231,,,16.5,112,,,0.29,Hainan
232,,,16.75,112,,,0.033,Hainan
233,,,17,112,,,0.604,Hainan
234,,,17.25,112,,,0,Hainan
235,,,17.5,112,,,0,Hainan
236,,,17.75,112,,,0,Guangdong
237,,,18,112,,,0,Guangdong
238,,,18.25,112,,,0,Guangdong
239,,,18.5,112,,,0,Guangdong
240,,,18.75,112,,,0,Guangdong
241,,,19,112,,,0,Guangdong
242,,,19.25,112,,,0,Guangdong
243,,,19.5,112,,,0,Guangdong
244,,,19.75,112,,,0,Guangdong
245,,,20,112,,,0,Guangdong
246,,,20.25,112,,,0,Guangdong
247,,,20.5,112,,,0,Guangdong
248,,,20.75,112,,,0.364,Guangdong
249,,,21,112,,,1.968,Guangdong
250,,,21.25,112,,,2.633,Guangdong
251,,,21.5,112,,,2.512,Guangdong
252,,,21.75,112,,,3.18,Guangdong
253,,,16.25,112.25,,,0.185,Hainan
254,,,16.5,112.25,,,0.668,Hainan
255,,,16.75,112.25,,,0.127,Hainan
256,,,17,112.25,,,1.695,Hainan
257,,,17.25,112.25,,,0,Guangdong
258,,,17.5,112.25,,,0,Guangdong
259,,,17.75,112.25,,,0,Guangdong
260,,,18,112.25,,,0,Guangdong
261,,,18.25,112.25,,,0,Guangdong
262,,,18.5,112.25,,,0,Guangdong
263,,,18.75,112.25,,,0,Guangdong
264,,,19,112.25,,,0,Guangdong
265,,,19.25,112.25,,,0,Guangdong
266,,,19.5,112.25,,,0,Guangdong
267,,,19.75,112.25,,,0,Guangdong
268,,,20,112.25,,,0,Guangdong
269,,,20.25,112.25,,,0,Guangdong
270,,,20.5,112.25,,,0,Guangdong
271,,,20.75,112.25,,,0.074,Guangdong
272,,,21,112.25,,,2.084,Guangdong
273,,,21.25,112.25,,,2.367,Guangdong
274,,,21.5,112.25,,,2.652,Guangdong
275,,,16.25,112.5,,,0.453,Hainan
276,,,16.5,112.5,,,1.31,Hainan
277,,,16.75,112.5,,,1.104,Guangdong
278,,,17,112.5,,,0,Guangdong
279,,,17.25,112.5,,,0,Guangdong
280,,,17.5,112.5,,,0,Guangdong
281,,,17.75,112.5,,,0,Guangdong
282,,,18,112.5,,,0,Guangdong
283,,,18.25,112.5,,,0,Guangdong
284,,,18.5,112.5,,,0,Guangdong
285,,,18.75,112.5,,,0,Guangdong
286,,,19,112.5,,,0,Guangdong
287,,,19.25,112.5,,,0,Guangdong
288,,,19.5,112.5,,,0,Guangdong
289,,,19.75,112.5,,,0,Guangdong
290,,,20,112.5,,,0,Guangdong
291,,,20.25,112.5,,,0,Guangdong
292,,,20.5,112.5,,,0.059,Guangdong
293,,,20.75,112.5,,,0,Guangdong
294,,,21,112.5,,,1.489,Guangdong
295,,,21.25,112.5,,,2.397,Guangdong
296,,,21.5,112.5,,,1.986,Guangdong
297,,,16.5,112.75,,,0.007,Guangdong
298,,,16.75,112.75,,,0.033,Guangdong
299,,,17,112.75,,,0,Guangdong
300,,,17.25,112.75,,,0,Guangdong
301,,,17.5,112.75,,,0,Guangdong
302,,,17.75,112.75,,,0,Guangdong
303,,,18,112.75,,,0,Guangdong
304,,,18.25,112.75,,,0,Guangdong
305,,,18.5,112.75,,,0,Guangdong
306,,,18.75,112.75,,,0,Guangdong
307,,,19,112.75,,,0,Guangdong
308,,,19.25,112.75,,,0,Guangdong
309,,,19.5,112.75,,,0,Guangdong
310,,,19.75,112.75,,,0,Guangdong
311,,,20,112.75,,,0,Guangdong
312,,,20.25,112.75,,,0,Guangdong
313,,,20.5,112.75,,,0.004,Guangdong
314,,,20.75,112.75,,,0,Guangdong
315,,,21,112.75,,,0.297,Guangdong
316,,,21.25,112.75,,,2.419,Guangdong
317,,,21.5,112.75,,,1.871,Guangdong
318,,,21.75,112.75,,,1.837,Guangdong
319,,,16.75,113,,,0,Guangdong
320,,,17,113,,,0,Guangdong
321,,,17.25,113,,,0,Guangdong
322,,,17.5,113,,,0,Guangdong
323,,,17.75,113,,,0,Guangdong
324,,,18,113,,,0,Guangdong
325,,,18.25,113,,,0,Guangdong
326,,,18.5,113,,,0,Guangdong
327,,,18.75,113,,,0,Guangdong
328,,,19,113,,,0,Guangdong
329,,,19.25,113,,,0,Guangdong
330,,,19.5,113,,,0.004,Guangdong
331,,,19.75,113,,,0.138,Guangdong
332,,,20,113,,,0,Guangdong
333,,,20.25,113,,,0,Guangdong
334,,,20.5,113,,,0,Guangdong
335,,,20.75,113,,,0,Guangdong
336,,,21,113,,,0.007,Guangdong
337,,,21.25,113,,,1.904,Guangdong
338,,,21.5,113,,,2.146,Guangdong
339,,,21.75,113,,,1.045,Guangdong
340,,,17,113.25,,,0,Guangdong
341,,,17.25,113.25,,,0,Guangdong
342,,,17.5,113.25,,,0,Guangdong
343,,,17.75,113.25,,,0,Guangdong
344,,,18,113.25,,,0,Guangdong
345,,,18.25,113.25,,,0,Guangdong
346,,,18.5,113.25,,,0,Guangdong
347,,,18.75,113.25,,,0,Guangdong
348,,,19,113.25,,,0,Guangdong
349,,,19.25,113.25,,,0,Guangdong
350,,,19.5,113.25,,,0,Guangdong
351,,,19.75,113.25,,,0,Guangdong
352,,,20,113.25,,,0,Guangdong
353,,,20.25,113.25,,,0,Guangdong
354,,,20.5,113.25,,,0,Guangdong
355,,,20.75,113.25,,,0,Guangdong
356,,,21,113.25,,,0.069,Guangdong
357,,,21.25,113.25,,,1.216,Guangdong
358,,,21.5,113.25,,,2.252,Guangdong
359,,,21.75,113.25,,,0.924,Guangdong
360,,,22,113.25,,,1.379,Guangdong
361,,,17.5,113.5,,,0,Guangdong
362,,,17.75,113.5,,,0,Guangdong
363,,,18,113.5,,,0,Guangdong
364,,,18.25,113.5,,,0,Guangdong
365,,,18.5,113.5,,,0,Guangdong
366,,,18.75,113.5,,,0,Guangdong
367,,,19,113.5,,,0,Guangdong
368,,,19.25,113.5,,,0,Guangdong
369,,,19.5,113.5,,,0,Guangdong
370,,,19.75,113.5,,,0,Guangdong
371,,,20,113.5,,,0,Guangdong
372,,,20.25,113.5,,,0.007,Guangdong
373,,,20.5,113.5,,,0,Guangdong
374,,,20.75,113.5,,,0,Guangdong
375,,,21,113.5,,,0,Guangdong
376,,,21.25,113.5,,,0.19,Guangdong
377,,,21.5,113.5,,,2.273,Guangdong
378,,,21.75,113.5,,,1.493,Guangdong
379,,,22,113.5,,,0.632,Guangdong
380,,,18,113.75,,,0,Guangdong
381,,,18.25,113.75,,,0,Guangdong
382,,,18.5,113.75,,,0,Guangdong
383,,,18.75,113.75,,,0,Guangdong
384,,,19,113.75,,,0,Guangdong
385,,,19.25,113.75,,,0.051,Guangdong
386,,,19.5,113.75,,,0,Guangdong
387,,,19.75,113.75,,,0,Guangdong
388,,,20,113.75,,,0,Guangdong
389,,,20.25,113.75,,,0,Guangdong
390,,,20.5,113.75,,,0,Guangdong
391,,,20.75,113.75,,,0,Guangdong
392,,,21,113.75,,,0,Guangdong
393,,,21.25,113.75,,,0,Guangdong
394,,,21.5,113.75,,,1.806,Guangdong
395,,,21.75,113.75,,,1.734,Guangdong
396,,,22,113.75,,,0.563,Guangdong
397,,,22.25,113.75,,,1.027,Guangdong
398,,,22.5,113.75,,,1.872,Guangdong
399,,,18.25,114,,,0,Guangdong
400,,,18.5,114,,,0,Guangdong
401,,,18.75,114,,,0,Guangdong
402,,,19,114,,,0,Guangdong
403,,,19.25,114,,,0,Guangdong
404,,,19.5,114,,,0,Guangdong
405,,,19.75,114,,,0,Guangdong
406,,,20,114,,,0,Guangdong
407,,,20.25,114,,,0,Guangdong
408,,,20.5,114,,,0,Guangdong
409,,,20.75,114,,,0,Guangdong
410,,,21,114,,,0,Guangdong
411,,,21.25,114,,,0,Guangdong
412,,,21.5,114,,,0.354,Guangdong
413,,,21.75,114,,,2.261,Guangdong
414,,,22,114,,,1.432,Guangdong
415,,,19.5,114.25,,,0,Guangdong
416,,,19.75,114.25,,,0,Guangdong
417,,,20,114.25,,,0,Guangdong
418,,,20.25,114.25,,,0,Guangdong
419,,,20.5,114.25,,,0,Guangdong
420,,,20.75,114.25,,,0,Guangdong
421,,,21,114.25,,,0,Guangdong
422,,,21.25,114.25,,,0.48,Guangdong
423,,,21.5,114.25,,,0.515,Guangdong
424,,,21.75,114.25,,,1.034,Guangdong
425,,,22,114.25,,,0.937,Guangdong
426,,,20,114.5,,,0,Guangdong
427,,,20.25,114.5,,,0,Guangdong
428,,,20.5,114.5,,,0,Guangdong
429,,,20.75,114.5,,,0,Guangdong
430,,,21,114.5,,,0,Guangdong
431,,,21.25,114.5,,,0,Guangdong
432,,,21.5,114.5,,,0.108,Guangdong
433,,,21.75,114.5,,,0.007,Guangdong
434,,,22,114.5,,,0.629,Guangdong
435,,,22.25,114.5,,,0.172,Guangdong
436,,,20.5,114.75,,,0,Guangdong
437,,,20.75,114.75,,,0,Guangdong
438,,,21,114.75,,,0,Guangdong
439,,,21.25,114.75,,,0,Guangdong
440,,,21.5,114.75,,,0,Guangdong
441,,,21.75,114.75,,,0,Guangdong
442,,,22,114.75,,,0.138,Guangdong
443,,,22.25,114.75,,,0.682,Guangdong
444,,,22.5,114.75,,,0.918,Guangdong
445,,,21,115,,,0,Guangdong
446,,,21.25,115,,,0,Guangdong
447,,,21.5,115,,,0,Guangdong
448,,,21.75,115,,,0,Guangdong
449,,,22,115,,,0,Guangdong
450,,,22.25,115,,,0.657,Guangdong
451,,,22.5,115,,,0.667,Guangdong
452,,,21.25,115.25,,,0,Guangdong
453,,,21.5,115.25,,,0,Guangdong
454,,,21.75,115.25,,,0,Guangdong
455,,,22,115.25,,,0,Guangdong
456,,,22.25,115.25,,,0.401,Guangdong
457,,,22.5,115.25,,,0.98,Guangdong
458,,,22.75,115.25,,,2.169,Guangdong
459,,,21.5,115.5,,,0,Guangdong
460,,,21.75,115.5,,,0,Guangdong
461,,,22,115.5,,,0,Guangdong
462,,,22.25,115.5,,,0.275,Guangdong
463,,,22.5,115.5,,,1.685,Guangdong
464,,,21.75,115.75,,,0,Guangdong
465,,,22,115.75,,,0,Guangdong
466,,,22.25,115.75,,,0.453,Guangdong
467,,,22.5,115.75,,,1.921,Guangdong
468,,,22.75,115.75,,,1.367,Guangdong
469,,,21.75,116,,,0.059,Guangdong
470,,,22,116,,,0,Guangdong
471,,,22.25,116,,,0.672,Guangdong
472,,,22.5,116,,,2.153,Guangdong
473,,,22.75,116,,,1.236,Guangdong
474,,,22,116.25,,,0,Guangdong
475,,,22.25,116.25,,,0.784,Guangdong
476,,,22.5,116.25,,,2.55,Guangdong
477,,,22.75,116.25,,,1.532,Guangdong
478,,,22,116.5,,,0,Guangdong
479,,,22.25,116.5,,,0.611,Guangdong
480,,,22.5,116.5,,,2.723,Guangdong
481,,,22.75,116.5,,,1.241,Guangdong
482,,,22.25,116.75,,,0.401,Guangdong
483,,,22.5,116.75,,,2.576,Guangdong
484,,,22.75,116.75,,,2.06,Guangdong
485,,,23,116.75,,,0.27,Guangdong
486,,,22.25,117,,,0.063,Guangdong
487,,,22.5,117,,,2.216,Guangdong
488,,,22.75,117,,,2.085,Guangdong
489,,,23,117,,,0.866,Guangdong
490,,,23.25,117,,,0.256,Guangdong
491,,,23.5,117,,,1.801,Guangdong
492,,,22.25,117.25,,,0.199,Guangdong
493,,,22.5,117.25,,,2.844,Guangdong
494,,,22.75,117.25,,,2.392,Guangdong
495,,,23,117.25,,,1.373,Guangdong
496,,,23.25,117.25,,,0.577,Fujian
497,,,23.5,117.25,,,1.067,Fujian
498,,,22.25,117.5,,,0.123,Guangdong
499,,,22.5,117.5,,,2.783,Fujian
500,,,22.75,117.5,,,3.315,Fujian
501,,,23,117.5,,,2.776,Fujian
502,,,23.25,117.5,,,1.106,Fujian
503,,,23.5,117.5,,,0.991,Fujian
504,,,23.75,117.5,,,1.003,Fujian
505,,,22,117.75,,,0.004,Fujian
506,,,22.25,117.75,,,1.352,Fujian
507,,,22.5,117.75,,,2.335,Fujian
508,,,22.75,117.75,,,3.325,Fujian
509,,,23,117.75,,,3.412,Fujian
510,,,23.25,117.75,,,2.746,Fujian
511,,,23.5,117.75,,,1.063,Fujian
512,,,23.75,117.75,,,0.607,Fujian
513,,,24,117.75,,,1.271,Fujian
514,,,38.5,117.75,,,2.607,Hebei
515,,,38.75,117.75,,,2.953,Tianjin
516,,,22,118,,,0,Fujian
517,,,22.25,118,,,0.292,Fujian
518,,,22.5,118,,,0.847,Fujian
519,,,22.75,118,,,3.26,Fujian
520,,,23,118,,,3.471,Fujian
521,,,23.25,118,,,3.344,Fujian
522,,,23.5,118,,,2.177,Fujian
523,,,23.75,118,,,0.89,Fujian
524,,,24,118,,,0.202,Fujian
525,,,38.5,118,,,2.419,Hebei
526,,,38.75,118,,,2.441,Tianjin
527,,,39,118,,,0.61,Tianjin
528,,,22.75,118.25,,,2.489,Fujian
529,,,23,118.25,,,3.496,Fujian
530,,,23.25,118.25,,,3.425,Fujian
531,,,23.5,118.25,,,3.232,Fujian
532,,,23.75,118.25,,,1.652,Fujian
533,,,24,118.25,,,0.545,Fujian
534,,,24.25,118.25,,,0.101,Fujian
535,,,24.5,118.25,,,0.72,Fujian
536,,,38.25,118.25,,,1.583,Shandong
537,,,38.5,118.25,,,2.483,Hebei
538,,,38.75,118.25,,,2.072,Tianjin
539,,,39,118.25,,,0.828,Hebei
540,,,23.75,118.5,,,2.159,Fujian
541,,,24,118.5,,,0.799,Fujian
542,,,24.25,118.5,,,0.307,Fujian
543,,,24.5,118.5,,,0.188,Fujian
544,,,38.5,118.5,,,2.692,Hebei
545,,,38.75,118.5,,,1.978,Hebei
546,,,39,118.5,,,1.327,Hebei
547,,,24.25,118.75,,,0.442,Fujian
548,,,24.5,118.75,,,0.188,Fujian
549,,,38.5,118.75,,,2.619,Hebei
550,,,38.75,118.75,,,2.108,Hebei
551,,,39,118.75,,,1.166,Hebei
552,,,24.5,119,,,0.228,Fujian
553,,,24.75,119,,,0.076,Fujian
554,,,25,119,,,0.339,Fujian
555,,,37.5,119,,,2.826,Shandong
556,,,38,119,,,1.382,Shandong
557,,,38.25,119,,,2.657,Shandong
558,,,38.5,119,,,2.318,Hebei
559,,,38.75,119,,,1.34,Hebei
560,,,39,119,,,1.158,Hebei
561,,,24.5,119.25,,,0.142,Fujian
562,,,24.75,119.25,,,0.105,Fujian
563,,,25,119.25,,,0.542,Fujian
564,,,35,119.25,,,2.925,Jiangsu
565,,,37.25,119.25,,,2.048,Shandong
566,,,37.5,119.25,,,2.015,Shandong
567,,,37.75,119.25,,,2.15,Shandong
568,,,38,119.25,,,2.498,Shandong
569,,,38.25,119.25,,,2.536,Shandong
570,,,38.5,119.25,,,2.041,Hebei
571,,,38.75,119.25,,,0.914,Hebei
572,,,39,119.25,,,0.936,Hebei
573,,,39.25,119.25,,,2.136,Hebei
574,,,24.75,119.5,,,0.994,Fujian
575,,,25,119.5,,,0.198,Fujian
576,,,25.25,119.5,,,0.853,Fujian
577,,,34.75,119.5,,,2.205,Jiangsu
578,,,35,119.5,,,1.79,Jiangsu
579,,,35.25,119.5,,,2.001,Jiangsu
580,,,37.25,119.5,,,1.678,Shandong
581,,,37.5,119.5,,,2.984,Shandong
582,,,37.75,119.5,,,2.051,Shandong
583,,,38,119.5,,,2.902,Shandong
584,,,38.25,119.5,,,2.775,Shandong
585,,,38.5,119.5,,,1.543,Hebei
586,,,38.75,119.5,,,1.434,Hebei
587,,,39,119.5,,,1.447,Hebei
588,,,39.25,119.5,,,2.298,Hebei
589,,,39.5,119.5,,,2.52,Hebei
590,,,39.75,119.5,,,2.171,Hebei
591,,,25,119.75,,,0.342,Fujian
592,,,25.25,119.75,,,0.021,Fujian
593,,,25.75,119.75,,,1.608,Fujian
594,,,26,119.75,,,1.293,Fujian
595,,,26.25,119.75,,,1.593,Fujian
596,,,34.75,119.75,,,2.277,Jiangsu
597,,,35,119.75,,,1.41,Jiangsu
598,,,35.25,119.75,,,1.144,Jiangsu
599,,,35.5,119.75,,,1.588,Shandong
600,,,37.75,119.75,,,1.823,Shandong
601,,,38,119.75,,,1.934,Shandong
602,,,38.25,119.75,,,2.347,Shandong
603,,,38.5,119.75,,,1.441,Hebei
604,,,38.75,119.75,,,1.479,Hebei
605,,,39,119.75,,,1.904,Hebei
606,,,39.25,119.75,,,2.288,Hebei
607,,,39.5,119.75,,,2.378,Hebei
608,,,39.75,119.75,,,1.274,Hebei
609,,,25.25,120,,,0.212,Fujian
610,,,25.5,120,,,0.248,Fujian
611,,,25.75,120,,,0.157,Fujian
612,,,26,120,,,0.588,Fujian
613,,,26.25,120,,,1.467,Fujian
614,,,26.5,120,,,1.263,Fujian
615,,,26.75,120,,,1.758,Fujian
616,,,34.5,120,,,1.41,Jiangsu
617,,,34.75,120,,,2.504,Jiangsu
618,,,35,120,,,1.277,Jiangsu
619,,,35.25,120,,,1.165,Jiangsu
620,,,35.5,120,,,2.089,Shandong
621,,,37.75,120,,,2.222,Shandong
622,,,38,120,,,0.677,Shandong
623,,,38.25,120,,,1.308,Shandong
624,,,38.5,120,,,2.627,Hebei
625,,,38.75,120,,,1.343,Hebei
626,,,39,120,,,2.124,Hebei
627,,,39.25,120,,,2.266,Hebei
628,,,39.5,120,,,1.677,Hebei
629,,,39.75,120,,,2.567,Liaoning
630,,,40,120,,,2.855,Liaoning
631,,,25.5,120.25,,,0.177,Fujian
632,,,25.75,120.25,,,0.276,Fujian
633,,,26,120.25,,,0.593,Fujian
634,,,26.25,120.25,,,1.131,Fujian
635,,,26.5,120.25,,,1.148,Fujian
636,,,26.75,120.25,,,1.855,Fujian
637,,,34.5,120.25,,,2.586,Jiangsu
638,,,34.75,120.25,,,2.417,Jiangsu
639,,,35,120.25,,,1.423,Jiangsu
