Index,lon,lat,row_number,col_number,annual_potential (MWh),provin
537,116.875000,23.500000,455,951,3102020.444358,Guangdong
551,99.062500,23.750000,456,894,470501.984372,Yunnan
552,99.375000,23.750000,456,895,1265886.690440,Yunnan
553,99.687500,23.750000,456,896,452691.898922,Yunnan
554,100.000000,23.750000,456,897,699014.765687,Yunnan
555,100.312500,23.750000,456,898,367315.435014,Yunnan
556,100.625000,23.750000,456,899,367315.435014,Yunnan
557,100.937500,23.750000,456,900,108080.923123,Yunnan
558,101.250000,23.750000,456,901,300375.830959,Yunnan
559,101.562500,23.750000,456,902,933557.913985,Yunnan
560,101.875000,23.750000,456,903,866854.883760,Yunnan
561,102.187500,23.750000,456,904,857610.244562,Yunnan
562,102.500000,23.750000,456,905,2109069.314630,Yunnan
563,102.812500,23.750000,456,906,2109069.314630,Yunnan
564,103.125000,23.750000,456,907,6051436.186881,Yunnan
565,103.437500,23.750000,456,908,12588378.331022,Yunnan
566,103.750000,23.750000,456,909,8171074.260573,Yunnan
567,104.062500,23.750000,456,910,8171074.260573,Yunnan
568,104.375000,23.750000,456,911,7372480.463720,Yunnan
569,104.687500,23.750000,456,912,7372480.463720,Yunnan
570,105.000000,23.750000,456,913,2740229.679197,Yunnan
571,105.312500,23.750000,456,914,2740229.679197,Yunnan
572,105.625000,23.750000,456,915,4273036.884589,Yunnan
573,105.937500,23.750000,456,916,2702692.238009,Yunnan
574,106.250000,23.750000,456,917,2702692.238009,Guangxi
575,106.562500,23.750000,456,918,3707040.934836,Guangxi
576,106.875000,23.750000,456,919,4759950.851547,Guangxi
577,107.187500,23.750000,456,920,4666927.348702,Guangxi
578,107.500000,23.750000,456,921,4707148.055620,Guangxi
579,107.812500,23.750000,456,922,4707148.055620,Guangxi
580,108.125000,23.750000,456,923,3478787.435475,Guangxi
581,108.437500,23.750000,456,924,3478787.435475,Guangxi
582,108.750000,23.750000,456,925,2193840.723988,Guangxi
583,109.062500,23.750000,456,926,3906520.793698,Guangxi
584,109.375000,23.750000,456,927,2867609.636891,Guangxi
585,109.687500,23.750000,456,928,2913095.630439,Guangxi
586,110.000000,23.750000,456,929,2116421.112456,Guangxi
587,110.312500,23.750000,456,930,1027237.138996,Guangxi
588,110.625000,23.750000,456,931,2060305.701627,Guangxi
589,110.937500,23.750000,456,932,66922.086395,Guangxi
590,111.250000,23.750000,456,933,2305292.251183,Guangxi
591,111.562500,23.750000,456,934,145476.241837,Guangxi
592,111.875000,23.750000,456,935,426555.219774,Guangdong
593,112.187500,23.750000,456,936,426555.219774,Guangdong
594,112.500000,23.750000,456,937,795577.816478,Guangdong
595,112.812500,23.750000,456,938,2058127.453926,Guangdong
596,113.125000,23.750000,456,939,3044629.568539,Guangdong
597,113.437500,23.750000,456,940,3044629.568539,Guangdong
598,113.750000,23.750000,456,941,2295033.115585,Guangdong
599,114.062500,23.750000,456,942,897772.620114,Guangdong
600,114.375000,23.750000,456,943,2035712.625887,Guangdong
601,114.687500,23.750000,456,944,2508826.631057,Guangdong
