index,lat,lon,province
273,23,116.25,Guangdong
274,23,116.5625,Guangdong
275,23.25,99.0625,Yunnan
276,23.25,99.375,Yunnan
277,23.25,99.6875,Yunnan
278,23.25,100,Yunnan
279,23.25,100.3125,Yunnan
280,23.25,100.625,Yunnan
281,23.25,100.9375,Yunnan
282,23.25,101.25,Yunnan
283,23.25,101.5625,Yunnan
284,23.25,101.875,Yunnan
285,23.25,102.1875,Yunnan
286,23.25,102.5,Yunnan
287,23.25,102.8125,Yunnan
288,23.25,103.125,Yunnan
289,23.25,103.4375,Yunnan
290,23.25,103.75,Yunnan
291,23.25,104.0625,Yunnan
292,23.25,104.375,Yunnan
293,23.25,104.6875,Yunnan
294,23.25,105,Yunnan
295,23.25,105.625,Guangxi
296,23.25,105.9375,Guangxi
297,23.25,106.25,Guangxi
298,23.25,106.5625,Guangxi
299,23.25,106.875,Guangxi
300,23.25,107.1875,Guangxi
301,23.25,107.5,Guangxi
302,23.25,107.8125,Guangxi
303,23.25,108.125,Guangxi
304,23.25,108.4375,Guangxi
305,23.25,108.75,Guangxi
306,23.25,109.0625,Guangxi
307,23.25,109.375,Guangxi
308,23.25,109.6875,Guangxi
309,23.25,110,Guangxi
310,23.25,110.3125,Guangxi
311,23.25,110.625,Guangxi
312,23.25,110.9375,Guangxi
313,23.25,111.25,Guangxi
314,23.25,111.5625,Guangdong
315,23.25,111.875,Guangdong
316,23.25,112.1875,Guangdong
317,23.25,112.5,Guangdong
318,23.25,112.8125,Guangdong
319,23.25,113.125,Guangdong
320,23.25,113.4375,Guangdong
321,23.25,113.75,Guangdong
322,23.25,114.0625,Guangdong
323,23.25,114.375,Guangdong
324,23.25,114.6875,Guangdong
325,23.25,115,Guangdong
326,23.25,115.3125,Guangdong
327,23.25,115.625,Guangdong
328,23.25,115.9375,Guangdong
329,23.25,116.25,Guangdong
330,23.25,116.5625,Guangdong
331,23.5,99.0625,Yunnan
332,23.5,99.375,Yunnan
333,23.5,99.6875,Yunnan
334,23.5,100,Yunnan
335,23.5,100.3125,Yunnan
336,23.5,100.625,Yunnan
337,23.5,100.9375,Yunnan
338,23.5,101.25,Yunnan
339,23.5,101.5625,Yunnan
340,23.5,101.875,Yunnan
341,23.5,102.1875,Yunnan
342,23.5,102.5,Yunnan
343,23.5,102.8125,Yunnan
344,23.5,103.125,Yunnan
345,23.5,103.4375,Yunnan
