Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh)
337,459,958,24.5,119.0625,5.6E+08,0.500,13111.16
338,459,959,24.5,119.375,9.6E+07,0.501,2262.62
339,459,960,24.5,119.6875,1.8E+08,0.502,4226.35
340,460,955,24.75,118.125,2.6E+07,0.151,184.40
341,460,956,24.75,118.4375,2.7E+07,0.324,411.61
342,460,957,24.75,118.75,5.9E+08,0.454,12491.85
343,460,958,24.75,119.0625,7.8E+08,0.509,18588.12
344,460,959,24.75,119.375,4.9E+08,0.517,11997.02
345,460,960,24.75,119.6875,5.7E+08,0.521,14064.66
346,460,961,24.75,120,1.2E+08,0.524,2881.11
347,460,962,24.75,120.3125,0.0E+00,0.520,0.00
348,461,957,25,118.75,1.0E+08,0.353,1708.66
349,461,958,25,119.0625,7.8E+08,0.490,17881.67
350,461,959,25,119.375,8.2E+08,0.531,20411.44
351,461,960,25,119.6875,7.6E+08,0.537,19280.76
352,461,961,25,120,8.7E+08,0.534,21725.29
353,461,962,25,120.3125,1.7E+08,0.533,4265.30
354,462,957,25.25,118.75,4.0E+06,0.190,35.74
355,462,958,25.25,119.0625,3.4E+08,0.409,6537.19
356,462,959,25.25,119.375,6.5E+08,0.523,15876.77
357,462,960,25.25,119.6875,8.0E+08,0.546,20425.58
358,462,961,25.25,120,8.5E+08,0.539,21536.94
359,462,962,25.25,120.3125,4.7E+08,0.534,11837.87
360,463,958,25.5,119.0625,8.0E+07,0.243,914.12
361,463,959,25.5,119.375,4.4E+08,0.453,9462.34
362,463,960,25.5,119.6875,4.8E+08,0.538,12227.66
363,463,961,25.5,120,8.5E+08,0.536,21433.29
364,463,962,25.5,120.3125,1.2E+08,0.526,3068.86
365,464,959,25.75,119.375,5.1E+07,0.242,581.56
366,464,960,25.75,119.6875,6.9E+08,0.468,15110.17
367,464,961,25.75,120,8.4E+08,0.529,20894.08
368,464,962,25.75,120.3125,5.9E+08,0.511,14168.25
369,464,963,25.75,120.625,0.0E+00,0.500,0.00
370,465,959,26,119.375,5.0E+06,0.124,29.10
371,465,960,26,119.6875,5.2E+08,0.337,8308.75
372,465,961,26,120,7.4E+08,0.499,17329.03
373,465,962,26,120.3125,2.4E+08,0.496,5577.09
374,465,963,26,120.625,0.0E+00,0.487,0.00
375,466,960,26.25,119.6875,4.4E+08,0.171,3554.38
376,466,961,26.25,120,7.8E+08,0.411,15126.27
377,466,962,26.25,120.3125,7.3E+08,0.478,16397.52
378,466,963,26.25,120.625,7.2E+08,0.477,16049.46
379,466,964,26.25,120.9375,8.3E+07,0.465,1814.63
380,467,960,26.5,119.6875,3.2E+08,0.048,721.90
381,467,961,26.5,120,7.3E+08,0.223,7645.76
382,467,962,26.5,120.3125,8.6E+08,0.436,17611.28
383,467,963,26.5,120.625,6.8E+08,0.466,14800.73
384,467,964,26.5,120.9375,3.4E+07,0.456,728.74
385,468,959,26.75,119.375,1.0E+06,0.026,1.22
386,468,960,26.75,119.6875,3.4E+08,0.022,356.75
387,468,961,26.75,120,3.8E+08,0.099,1776.94
