lat,lon,provin
41.95449,101.05552,WestInnerMongolia
41.78985,123.42102,Liaoning
41.79607,123.45852,Liaoning
41.86281,123.48682,Liaoning
41.82053,123.42512,Liaoning
41.80267,123.37722,Liaoning
41.66472,123.34432,Liaoning
41.87624,123.47634,Liaoning
42.05368,123.527,Liaoning
41.79407,123.30813,Liaoning
41.5118,122.73161,Liaoning
42.7499,123.35349,Liaoning
42.50403,123.40838,Liaoning
41.99767,122.828,Liaoning
38.91864,121.64511,Liaoning
38.91478,121.61234,Liaoning
38.90463,121.59451,Liaoning
38.95223,121.5255,Liaoning
38.85129,121.26208,Liaoning
39.05015,121.78259,Liaoning
39.27276,122.58861,Liaoning
39.62644,121.97995,Liaoning
39.39443,121.96323,Liaoning
39.68037,122.96611,Liaoning
41.08994,122.9912,Liaoning
41.11956,122.96939,Liaoning
41.15013,123.02952,Liaoning
41.07488,122.96089,Liaoning
41.41269,122.43591,Liaoning
40.28998,123.28171,Liaoning
40.88145,122.68463,Liaoning
41.85928,123.87415,Liaoning
41.85301,124.03923,Liaoning
41.85329,123.78439,Liaoning
41.88307,123.94513,Liaoning
41.78616,124.19596,Liaoning
41.73371,125.03979,Liaoning
42.10038,124.92411,Liaoning
41.22132,123.68338,Liaoning
41.32919,123.76769,Liaoning
