Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Sponsor,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),resource,final_end_year,final_start_year,age_at_2030,lifetime_remain,CO2_reduction,ttl_CO2_reduction,retrofit_year
G105306,L101074,P102056,https://www.gem.wiki/Shenhua_Jiujiang_power_station,China,Jiangxi,Jiujiang Shenhua 1,Shenhua Jiujiang power station,神华国华九江发电公司一期,NA,China Shenhua Energy Co,National Energy Investment Group,1052,operating,2018,NA,NA,ultra-super,unknown,NA,Liusi Town,Hukou,Jiujiang,East Asia,29.826619,116.375973,exact,2014-12-12,NA,NA,NA,8272,96100,51.00%,3.9,145.9,37,coal,2048,2018,12,25,3.432,85.8,2040
G105307,L101074,P102056,https://www.gem.wiki/Shenhua_Jiujiang_power_station,China,Jiangxi,Jiujiang Shenhua 2,Shenhua Jiujiang power station,神华国华九江发电公司一期,NA,China Shenhua Energy Co,National Energy Investment Group,1052,operating,2018,NA,NA,ultra-super,unknown,NA,Liusi Town,Hukou,Jiujiang,East Asia,29.826619,116.375973,exact,2014-12-12,NA,NA,NA,8272,96100,51.00%,3.9,145.9,37,coal,2048,2018,12,25,3.432,85.8,2040
G101467,L100542,Q200521,https://www.gem.wiki/China_Resources_Caofeidian_power_station,China,Hebei,China Resources Caofeidian 3,China Resources Caofeidian power station,华润电力唐山曹妃甸公司二期,Tangshan Caofeidian power station,China Resources Power Holdings 90%; Tangshan Construction Investment Co (唐山建设投资有限责任公司) 10.00%.,"China Resources (90%), Tangshan Construction Investment (10%)",1000,operating,2019,NA,NA,ultra-super,bituminous,NA,Caofeidian Port - Tangshan City,Caofeidian,Tangshan,East Asia,38.9960653,118.4875488,exact,2014-12-24,NA,NA,NA,8272,94600,51.00%,3.7,140.2,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G102101,L100354,P100233,https://www.gem.wiki/Datang_Leizhou_power_station,China,Guangdong,Datang Leizhou power station Unit 1,Datang Leizhou power station,大唐国际雷州电厂上大压小新建项目,NA,Datang International Power Generation Co 34%; Datang Huayin Power Co 33.00%; China Datang 30%; 雷州市培财基础设施建设有限公司 3%,China Datang,1000,operating,2019,NA,NA,ultra-super,unknown,NA,"Gangcai Village, Wushi Town",Leizhou,Zhanjiang,East Asia,20.51161,109.82803,exact,2015-1-13,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G102810,L101244,Q200725,https://www.gem.wiki/Shaanxi_Fugu_Qingshuichuan_power_station,China,Shaanxi,Fugu Qingshuichuan 3,Fugu Qingshuichuan power station,陕西省投资集团清水川发电公司二期,NA,Shaanxi Qingshuichuan Elec Co,"Shaanxi Provincial Investment Group (51%), Shaanxi Coal and Chemical Industry Group (49%)",1000,operating,2019,NA,NA,ultra-super,unknown,NA,Huangpu Town,Fugu,Yulin,East Asia,39.203699,111.117694,exact,2014-12,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G102811,L101244,Q200725,https://www.gem.wiki/Shaanxi_Fugu_Qingshuichuan_power_station,China,Shaanxi,Fugu Qingshuichuan 4,Fugu Qingshuichuan power station,陕西省投资集团清水川发电公司二期,NA,Shaanxi Qingshuichuan Elec Co,"Shaanxi Provincial Investment Group (51%), Shaanxi Coal and Chemical Industry Group (49%)",1000,operating,2019,NA,NA,ultra-super,unknown,NA,Huangpu Town,Fugu,Yulin,East Asia,39.203699,111.117694,exact,2014-12,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G103293,L101190,Q200665,https://www.gem.wiki/Guodian_Fangjiazhuang_power_station,China,Ningxia,Guodian Fangjiazhuang Power Plant Unit 1,Guodian Fangjiazhuang power station,国电浙能宁东发电公司方家庄电厂一期,NA,"Ningxia Younglight Chemicals Co.,Ltd 51%; Zhejiang Zheneng Elec Pow Co 49%.","National Energy Investment Group (51%), Zhejiang Provincial Energy Group (49%)",1000,operating,2019,NA,NA,ultra-super,unknown,NA,Majiatan Town,Lingwu,Yinchuan,East Asia,37.8376488,106.6665009,exact,2015-4-15,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G103294,L101190,Q200665,https://www.gem.wiki/Guodian_Fangjiazhuang_power_station,China,Ningxia,Guodian Fangjiazhuang Power Plant Unit 2,Guodian Fangjiazhuang power station,国电浙能宁东发电公司方家庄电厂一期,NA,"Ningxia Younglight Chemicals Co.,Ltd 51%; Zhejiang Zheneng Elec Pow Co 49%.","National Energy Investment Group (51%), Zhejiang Provincial Energy Group (49%)",1000,operating,2019,NA,NA,ultra-super,unknown,NA,Majiatan Town,Lingwu,Yinchuan,East Asia,37.8376488,106.6665009,exact,2015-4-15,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G104066,L100988,P100238,https://www.gem.wiki/Huadian_Gourong_power_station,China,Jiangsu,Huadian Jurong power station Unit 4,Huadian Jurong power station,华电句容发电厂二期,Huadian Jurong power station,Huadian Jiangsu Energy Co.,China Huadian,1000,operating,2019,NA,NA,ultra-super,unknown,NA,Zhenjiang City,Jurong,Zhenjiang,East Asia,32.19575,119.2497,exact,2015-7-21,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G104075,L101339,Q200847,https://www.gem.wiki/Huadian_Laizhou_power_station,China,Shandong,Huadian Laizhou 3,Huadian Laizhou power station,华电国际莱州发电公司二期,NA,Huadian Power International Corp 75%,"China Huadian (75%), Shandong Development Investment Holding Group (25%)",1000,operating,2019,NA,NA,ultra-super,bituminous,NA,"Haibeizui village, Jincheng Town",Laizhou,Yantai,East Asia,37.432222,120.018056,exact,2015-9-10,NA,NA,NA,8272,94600,51.00%,3.7,140.2,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G104076,L101339,Q200847,https://www.gem.wiki/Huadian_Laizhou_power_station,China,Shandong,Huadian Laizhou 4,Huadian Laizhou power station,华电国际莱州发电公司二期,NA,Huadian Power International Corp 75%,"China Huadian (75%), Shandong Development Investment Holding Group (25%)",1000,operating,2019,NA,NA,ultra-super,bituminous,NA,"Haibeizui village, Jincheng Town",Laizhou,Yantai,East Asia,37.432222,120.018056,exact,2015-9-10,NA,NA,NA,8272,94600,51.00%,3.7,140.2,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G104716,L100745,Q200577,https://www.gem.wiki/Hubei_Ezhou_power_station,China,Hubei,Hubei Ezhou power station Unit 5,Hubei Ezhou power station,湖北能源鄂州发电公司三期,NA,Hubei Energy Group Co Ltd,"Hubei Energy Group (60%), Huainan Mining Group (30%), ChinaCoal (10%)",1000,operating,2019,NA,NA,ultra-super,unknown,NA,Gedian District,Huarong,Ezhou,East Asia,30.5517656,114.6420121,exact,2015-6-4,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G104717,L100745,Q200577,https://www.gem.wiki/Hubei_Ezhou_power_station,China,Hubei,Hubei Ezhou power station Unit 6,Hubei Ezhou power station,湖北能源鄂州发电公司三期,NA,Hubei Energy Group Co Ltd,"Hubei Energy Group (60%), Huainan Mining Group (30%), ChinaCoal (10%)",1000,operating,2019,NA,NA,ultra-super,unknown,NA,Gedian District,Huarong,Ezhou,East Asia,30.5517656,114.6420121,exact,2015-6-4,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G105137,L100680,P102057,https://www.gem.wiki/Jiaozuo_Danhe_power_station,China,Henan,Jiaozuo Danhe-2 No 1,Jiaozuo Danhe power station,国家电投河南电力沁阳分公司,国家电投焦作丹河电厂上大压小异地扩建项目,"SPIC Henan Electric Power Co, Ltd.100%",State Power Investment Corporation,1000,operating,2019,NA,NA,ultra-super,unknown,NA,Xiwan Town Xiaoweiying Villege,Qinyang,Jiaozuo,East Asia,35.188487,112.887561,exact,2015-07-31,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G106227,L101265,Q200728,https://www.gem.wiki/Leilongwan_power_station,China,Shaanxi,Leilongwan Power Plant unit 2,Leilongwan power station,陕西省投资集团赵石畔煤电公司,雷龙湾电厂一期,Shaanxi Huisen Coal Industry Co,"Shaanxi Provincial Investment Group (60%), Yulin State Owned Asset Management Company (20%), Hengshan County State Owned Asset Management Company (20%)",1000,operating,2019,NA,NA,ultra-super,unknown,NA,"Zhaoshipan Town, Yongzhong Village",Hengshan,Yulin,East Asia,37.925376,109.101678,exact,2016-3-14,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G106460,L100390,P100579,https://www.gem.wiki/Lufeng_Jiahuwan_power_station,China,Guangdong,Lufeng Jiahuwan 2,Lufeng Jiahuwan power station,广东宝丽华新能源陆丰甲湖湾新建项目,NA,Guangdong Baolihua New Energy Stock Co,Guangdong Baolihua Group,1000,operating,2019,NA,NA,ultra-super,unknown,NA,Hudong Town,Lufeng,Shanwei,East Asia,22.832499,115.985482,exact,2015-2-1,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
G111478,L101297,P101269,https://www.gem.wiki/Yulin_Hengshan_power_station,China,Shaanxi,Yulin Hengshan unit 1,Yulin Hengshan power station,榆林能源横山电厂,Yulin Yuheng power station expansion,Yulin Energy Group,Shaanxi Yulin Energy Group,1000,operating,2019,NA,NA,ultra-super,unknown,NA,Boluo Town,Hengshan,Yulin,East Asia,38.03372,109.415067,exact,2016-04-22,NA,NA,NA,8272,96100,51.00%,3.7,142.4,38,coal,2049,2019,11,26,3.2560000000000002,84.656,2040
